TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow,CitySigns,MiniMap,NavigationArrow,PlayerRotation,ReachedLocation
61286.670,1719.038,City,8.099995,1.510022,90.22174,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.674,1719.035,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.676,1719.032,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.679,1719.03,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.682,1719.027,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.684,1719.024,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.687,1719.021,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.690,1719.018,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.694,1719.015,City,8.099995,1.510022,90.22177,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.697,1719.012,City,8.099995,1.510022,90.22177,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.700,1719.009,City,8.099995,1.510022,90.22177,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.703,1719.006,City,8.099995,1.510022,90.22177,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.706,1719.003,City,8.099995,1.510022,90.22177,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.708,1719,City,8.099995,1.510022,90.22177,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.712,1718.997,City,8.099995,1.510022,90.22179,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.714,1718.994,City,8.099995,1.510022,90.22179,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.717,1718.992,City,8.099995,1.510022,90.22179,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.720,1718.989,City,8.099995,1.510022,90.22179,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.722,1718.986,City,8.099995,1.510022,90.22179,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.726,1718.983,City,8.099995,1.510022,90.22179,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.729,1718.98,City,8.099995,1.510022,90.22179,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.732,1718.977,City,8.099995,1.510022,90.2218,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.735,1718.974,City,8.099995,1.510022,90.2218,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.738,1718.971,City,8.099995,1.510022,90.2218,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.740,1718.968,City,8.099995,1.510022,90.2218,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.744,1718.965,City,8.099995,1.510022,90.2218,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.747,1718.961,City,8.099995,1.510022,90.2218,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.750,1718.959,City,8.099995,1.510022,90.2218,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.753,1718.956,City,8.099995,1.510022,90.22182,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.755,1718.953,City,8.099995,1.510022,90.22182,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.759,1718.95,City,8.099995,1.510022,90.22182,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.762,1718.947,City,8.099995,1.510022,90.22182,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.765,1718.943,City,8.099995,1.510022,90.22182,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.768,1718.94,City,8.099995,1.510022,90.22182,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.772,1718.937,City,8.099995,1.510022,90.22183,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.774,1718.934,City,8.099995,1.510022,90.22183,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.777,1718.931,City,8.099995,1.510022,90.22183,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
