TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow,CitySigns,MiniMap,NavigationArrow,PlayerRotation,ReachedLocation
62108.003,1515.64,City,8.099995,1.510022,90.22174,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.006,1515.637,City,8.099995,1.510022,90.22174,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.009,1515.634,City,8.099995,1.510022,90.22174,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.012,1515.631,City,8.099995,1.510022,90.22174,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.015,1515.628,City,8.099995,1.510022,90.22174,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.019,1515.625,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.022,1515.622,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.025,1515.618,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.028,1515.615,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.030,1515.612,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.033,1515.609,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.036,1515.606,City,8.099995,1.510022,90.22176,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.040,1515.603,City,8.099995,1.510022,90.22177,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.043,1515.601,City,8.099995,1.510022,90.22177,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.046,1515.597,City,8.099995,1.510022,90.22177,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.049,1515.594,City,8.099995,1.510022,90.22177,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.051,1515.591,City,8.099995,1.510022,90.22177,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.054,1515.589,City,8.099995,1.510022,90.22177,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.059,1515.585,City,8.099995,1.510022,90.22179,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.062,1515.582,City,8.099995,1.510022,90.22179,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.065,1515.578,City,8.099995,1.510022,90.22179,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.068,1515.575,City,8.099995,1.510022,90.22179,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.070,1515.572,City,8.099995,1.510022,90.22179,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.074,1515.569,City,8.099995,1.510022,90.22179,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.077,1515.566,City,8.099995,1.510022,90.2218,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.080,1515.563,City,8.099995,1.510022,90.2218,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.083,1515.56,City,8.099995,1.510022,90.2218,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.086,1515.557,City,8.099995,1.510022,90.2218,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.089,1515.553,City,8.099995,1.510022,90.2218,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.094,1515.55,City,8.099995,1.510022,90.2218,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.097,1515.546,City,8.099995,1.510022,90.22182,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.100,1515.542,City,8.099995,1.510022,90.22182,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.102,1515.539,City,8.099995,1.510022,90.22182,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.106,1515.537,City,8.099995,1.510022,90.22182,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.109,1515.533,City,8.099995,1.510022,90.22182,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.112,1515.531,City,8.099995,1.510022,90.22182,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.114,1515.528,City,8.099995,1.510022,90.22182,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.117,1515.525,City,8.099995,1.510022,90.22183,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.120,1515.522,City,8.099995,1.510022,90.22183,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.123,1515.52,City,8.099995,1.510022,90.22183,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.126,1515.517,City,8.099995,1.510022,90.22183,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.129,1515.514,City,8.099995,1.510022,90.22183,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.132,1515.511,City,8.099995,1.510022,90.22183,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.134,1515.508,City,8.099995,1.510022,90.22183,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.137,1515.505,City,8.099995,1.510022,90.22185,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.141,1515.503,City,8.099995,1.510022,90.22185,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.143,1515.499,City,8.099995,1.510022,90.22185,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.146,1515.497,City,8.099995,1.510022,90.22185,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.149,1515.494,City,8.099995,1.510022,90.22185,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.152,1515.491,City,8.099995,1.510022,90.22185,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.154,1515.488,City,8.099995,1.510022,90.22185,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.157,1515.486,City,8.099995,1.510022,90.22186,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.159,1515.483,City,8.099995,1.510022,90.22186,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.162,1515.48,City,8.099995,1.510022,90.22186,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.165,1515.477,City,8.099995,1.510022,90.22186,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.167,1515.474,City,8.099995,1.510022,90.22186,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.171,1515.471,City,8.099995,1.510022,90.22186,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.174,1515.469,City,8.099995,1.510022,90.22186,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.177,1515.466,City,8.099995,1.510022,90.22188,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.179,1515.463,City,8.099995,1.510022,90.22188,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
