Tasks_Set,Task_Location,ObjectivePathNodes,PlayerPathNodes,Correct,Incorrect,CorrectOutOfTime,IncorrectOutOfTime,Performance,TaskTime,ExceededTime
1,Home,5,5,0,0,0,0,100,167.6991,0
1,Rehatask-Home,0,0,0,0,0,0,0,107.1366,-103.8634
