TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow,CitySigns,MiniMap,NavigationArrow,PlayerRotation,ReachedLocation
61199.758,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.766,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.769,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.774,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.779,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.785,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.789,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.794,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.799,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.805,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.810,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.814,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.819,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.824,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.829,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.834,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.838,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.843,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.847,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.853,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.857,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.863,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.867,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.872,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.876,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.882,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.887,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.892,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.897,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.901,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.906,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.911,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.916,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.921,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.925,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.930,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.935,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.939,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61199.944,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
