TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow,LevelNumber,Type,Scenario,Category,ImagesToFind,Columns,Rows,ObjectiveVisible,HintsActive,SelectedImage,CorrectImages,Wrong Images
61324.398,1681.438,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.406,1681.429,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.414,1681.42,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.423,1681.412,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.431,1681.404,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.439,1681.396,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.451,1681.388,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.459,1681.375,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.477,1681.367,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.485,1681.349,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.494,1681.341,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.502,1681.333,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.510,1681.325,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.519,1681.317,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.527,1681.307,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.538,1681.299,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.553,1681.288,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.561,1681.273,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.571,1681.265,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.579,1681.256,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.587,1681.248,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.595,1681.24,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.604,1681.231,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.611,1681.223,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.621,1681.214,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.629,1681.206,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.646,1681.198,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.654,1681.18,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.663,1681.172,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.673,1681.163,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.694,1681.154,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.709,1681.133,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.717,1681.118,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.730,1681.109,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.739,1681.096,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.756,1681.088,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.764,1681.071,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.773,1681.062,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.781,1681.054,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.790,1681.045,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.798,1681.037,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.807,1681.029,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.815,1681.02,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.834,1681.011,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.842,1680.993,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.850,1680.985,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.864,1680.976,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.872,1680.963,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.880,1680.955,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.889,1680.946,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.897,1680.938,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.905,1680.929,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.913,1680.921,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.921,1680.913,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.929,1680.905,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.938,1680.897,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.946,1680.889,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.954,1680.88,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.961,1680.872,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.970,1680.864,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.982,1680.856,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.990,1680.845,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.005,1680.837,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.021,1680.822,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.029,1680.806,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.037,1680.798,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.046,1680.789,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.054,1680.781,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.061,1680.772,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.071,1680.764,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.079,1680.756,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.088,1680.747,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.096,1680.739,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.114,1680.73,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.122,1680.713,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.129,1680.705,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.138,1680.697,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.146,1680.688,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.154,1680.68,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.163,1680.672,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.175,1680.664,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.183,1680.652,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.191,1680.644,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.199,1680.636,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.207,1680.628,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.215,1680.62,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.223,1680.611,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.235,1680.603,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.243,1680.592,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.251,1680.583,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.259,1680.576,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.267,1680.567,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.275,1680.559,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.283,1680.551,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.291,1680.543,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.301,1680.535,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.318,1680.526,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.334,1680.509,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.342,1680.493,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.349,1680.485,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.358,1680.477,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.366,1680.468,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.374,1680.46,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.383,1680.452,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.391,1680.444,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.399,1680.436,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.407,1680.427,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.415,1680.42,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.423,1680.411,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.431,1680.403,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.440,1680.395,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.448,1680.387,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.456,1680.379,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.473,1680.371,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.489,1680.354,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.500,1680.338,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.508,1680.326,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.516,1680.318,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.524,1680.31,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.531,1680.302,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.552,1680.294,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.560,1680.275,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.569,1680.266,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.577,1680.258,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.585,1680.25,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61325.593,1680.242,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
