TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow,LevelNumber,Type,Scenario,Category,ImagesToFind,Columns,Rows,ObjectiveVisible,HintsActive,SelectedImage,CorrectImages,Wrong Images
61236.838,1766.79,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.841,1766.787,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.842,1766.786,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.852,1766.784,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.853,1766.775,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.868,1766.774,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.869,1766.759,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.884,1766.757,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.885,1766.742,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.899,1766.741,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.900,1766.728,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.915,1766.726,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.916,1766.711,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.931,1766.71,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61236.932,1766.695,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
